tconst,domestic,international,worldwide
tt0335266,44585453.0,74101484.0,118686937.0
tt0335295,,11702775.0,11702775.0
tt0335345,370782930.0,241271576.0,612054506.0
tt0335351,34634.0,3096303.0,3130937.0
tt0335438,88237754.0,82030996.0,170268750.0
tt0335559,17071962.0,4441472.0,21513434.0
tt0335563,1060512.0,1405932.0,2466444.0
tt0335791,,1197891.0,1197891.0
tt0336164,,24347.0,24347.0
tt0336217,,742.0,742.0
tt0336264,350391.0,1283916.0,1634307.0
tt0336432,,1208002.0,1208002.0
tt0336477,,35817.0,35817.0
tt0336621,,29786.0,29786.0
tt0336678,,4086108.0,4086108.0
tt0336792,,154567.0,154567.0
tt0336846,,197117.0,197117.0
tt0336910,26377.0,,26377.0
tt0336940,,1417583.0,1417583.0
tt0336952,,425700.0,425700.0
tt0337103,152148.0,40000000.0,40152148.0
tt0337250,,3590.0,3590.0
tt0337389,,27373.0,27373.0
tt0337421,,37115.0,37115.0
tt0337430,,1347.0,1347.0
tt0337540,,347298.0,347298.0
tt0337563,57231747.0,39223950.0,96455697.0
tt0337573,,891133.0,891133.0
tt0337578,1058803.0,6826676.0,7885479.0
tt0337579,65111277.0,880171.0,65991448.0
tt0337584,12343.0,,12343.0
tt0337585,15520.0,,15520.0
tt0337592,21924226.0,39846.0,21964072.0
tt0337631,142872.0,8997.0,151869.0
tt0337632,98666.0,,98666.0
tt0337662,1332.0,,1332.0
tt0337674,,8516629.0,8516629.0
tt0337678,,1858381.0,1858381.0
tt0337689,,29320869.0,29320869.0
tt0337692,744296.0,8873081.0,9617377.0
tt0337697,28176497.0,9490269.0,37666766.0
tt0337711,39402572.0,15847924.0,55250496.0
tt0337721,201149.0,,201149.0
tt0337733,,95853.0,95853.0
tt0337735,967.0,,967.0
tt0337741,124728738.0,140600000.0,265328738.0
tt0337744,,41176.0,41176.0
tt0337875,,45829.0,45829.0
tt0337876,5095038.0,18830454.0,23925492.0
tt0337879,48000.0,1175155.0,1223155.0
tt0337881,,202737.0,202737.0
tt0337909,31041759.0,62359000.0,93400759.0
